epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,196.394,0.42447,0.30556,1.00867,0.99957,1,0.995,0.96577,0.26197,0.19802,0.75834,0.0007724,0.0007724,0.0007724
64,199.411,0.43659,0.3063,1.01525,0.99965,1,0.995,0.97759,0.25326,0.20384,0.7651,0.0007526,0.0007526,0.0007526
65,202.458,0.43805,0.31007,1.01585,0.9997,1,0.995,0.97057,0.28323,0.22044,0.7645,0.0007328,0.0007328,0.0007328
66,205.553,0.45034,0.3171,1.02167,0.99485,1,0.995,0.96913,0.27687,0.20782,0.76184,0.000713,0.000713,0.000713
67,208.596,0.42915,0.30916,1.01481,0.99891,1,0.995,0.98349,0.25883,0.20159,0.76234,0.0006932,0.0006932,0.0006932
68,211.788,0.43137,0.31249,1.01129,0.99857,1,0.995,0.97823,0.25096,0.18945,0.75744,0.0006734,0.0006734,0.0006734
69,214.999,0.41284,0.3023,0.99846,0.99971,1,0.995,0.97996,0.26,0.20234,0.7618,0.0006536,0.0006536,0.0006536
70,218.05,0.41709,0.30174,1.00724,0.99972,1,0.995,0.97701,0.26315,0.18244,0.76149,0.0006338,0.0006338,0.0006338
71,221.142,0.42666,0.30936,1.00565,0.99964,1,0.995,0.97866,0.25097,0.19812,0.76148,0.000614,0.000614,0.000614
72,224.207,0.41014,0.30295,1.00605,0.99973,1,0.995,0.98196,0.25168,0.20287,0.76236,0.0005942,0.0005942,0.0005942
73,227.263,0.42103,0.29576,1.01703,0.99891,1,0.995,0.98024,0.25607,0.19914,0.76044,0.0005744,0.0005744,0.0005744
74,230.403,0.42909,0.30198,1.01082,0.99967,1,0.995,0.97884,0.24637,0.19256,0.75971,0.0005546,0.0005546,0.0005546
75,233.404,0.40398,0.29182,0.99769,0.99955,1,0.995,0.97708,0.2706,0.21271,0.76607,0.0005348,0.0005348,0.0005348
76,236.748,0.41769,0.29248,1.00743,0.99973,1,0.995,0.98014,0.24698,0.20256,0.76158,0.000515,0.000515,0.000515
77,240.081,0.43049,0.29761,1.01016,0.99972,1,0.995,0.98432,0.23764,0.19177,0.75921,0.0004952,0.0004952,0.0004952
78,243.241,0.40444,0.295,1.00505,0.99973,1,0.995,0.98093,0.23309,0.19189,0.75691,0.0004754,0.0004754,0.0004754
79,246.41,0.40885,0.28779,1.01208,0.99972,1,0.995,0.97986,0.23553,0.18319,0.7589,0.0004556,0.0004556,0.0004556
80,249.656,0.41573,0.29245,1.00592,0.99973,1,0.995,0.98532,0.24631,0.19171,0.7628,0.0004358,0.0004358,0.0004358
81,252.874,0.40694,0.28432,0.99905,0.99973,1,0.995,0.98321,0.24036,0.19391,0.76014,0.000416,0.000416,0.000416
82,256.095,0.40595,0.28885,1.00124,0.99973,1,0.995,0.98489,0.22851,0.18176,0.75988,0.0003962,0.0003962,0.0003962
83,259.344,0.4008,0.28604,1.00365,0.99972,1,0.995,0.98365,0.23138,0.18853,0.75833,0.0003764,0.0003764,0.0003764
84,262.547,0.41076,0.28145,1.00312,0.99972,1,0.995,0.97689,0.24593,0.18786,0.76087,0.0003566,0.0003566,0.0003566
85,265.829,0.38909,0.27827,1.00205,0.99973,1,0.995,0.98122,0.23371,0.19004,0.75904,0.0003368,0.0003368,0.0003368
86,269.063,0.38564,0.26867,0.99071,0.99972,1,0.995,0.97459,0.23249,0.18267,0.75941,0.000317,0.000317,0.000317
87,272.315,0.38746,0.27782,0.99697,0.99971,1,0.995,0.98279,0.23883,0.18196,0.75762,0.0002972,0.0002972,0.0002972
88,275.555,0.39415,0.28352,0.99543,0.99965,1,0.995,0.98214,0.23066,0.17353,0.75888,0.0002774,0.0002774,0.0002774
89,278.793,0.38446,0.27679,0.99482,0.99969,1,0.995,0.98436,0.24125,0.1904,0.75805,0.0002576,0.0002576,0.0002576
90,282.134,0.38057,0.2766,0.9925,0.99969,1,0.995,0.9852,0.2288,0.18112,0.75494,0.0002378,0.0002378,0.0002378
91,314.146,0.15376,0.14023,0.86819,0.99961,1,0.995,0.9757,0.24692,0.18745,0.75918,0.000218,0.000218,0.000218
92,317.41,0.1466,0.12577,0.85731,0.99851,1,0.995,0.98343,0.22281,0.18441,0.75664,0.0001982,0.0001982,0.0001982
93,320.74,0.14955,0.12585,0.8628,0.99815,1,0.995,0.9834,0.23549,0.19564,0.76055,0.0001784,0.0001784,0.0001784
94,324.867,0.14969,0.12369,0.85157,0.99811,1,0.995,0.98486,0.23714,0.19383,0.76336,0.0001586,0.0001586,0.0001586
95,328.375,0.13608,0.11812,0.86838,0.9991,1,0.995,0.98474,0.23736,0.20142,0.76238,0.0001388,0.0001388,0.0001388
96,331.585,0.13819,0.11361,0.86146,0.99934,1,0.995,0.98424,0.24068,0.20933,0.76567,0.000119,0.000119,0.000119
97,334.54,0.1412,0.11455,0.85808,0.99922,1,0.995,0.98701,0.23759,0.20089,0.76387,9.92e-05,9.92e-05,9.92e-05
98,337.511,0.13454,0.10932,0.85422,0.99902,1,0.995,0.98708,0.23357,0.19526,0.76178,7.94e-05,7.94e-05,7.94e-05
99,340.526,0.13912,0.11291,0.85421,0.99873,1,0.995,0.98842,0.2243,0.18429,0.75969,5.96e-05,5.96e-05,5.96e-05
100,343.436,0.12745,0.10673,0.86815,0.99846,1,0.995,0.98628,0.23011,0.18748,0.76161,3.98e-05,3.98e-05,3.98e-05
