number,value,params_SA_kernel_size,params_SE_reduction_ratio,params_base,params_beta1,params_beta2,params_cardinality,params_dropout_rate,params_lr,params_wd
15,0.432,9,32,8,0.9261484666786777,0.983302734515142,16,0.413414279274076,0.0003229391884623839,2.5270345064761525e-06
16,0.266,9,8,4,0.9284168330068681,0.9835507873325002,16,0.5089153791994342,5.7254182943774446e-05,1.3193033208318583e-05
17,0.428,7,32,4,0.8797178586751662,0.9806459204760942,16,0.5973519557006577,0.0003800067855699298,7.789445162305335e-06
18,0.374,5,32,2,0.8684810408762941,0.9842908647911686,16,0.3550313101079892,0.00021718281954676594,2.3150622283618273e-06
19,0.458,9,8,8,0.9541689166025128,0.9922876068507998,64,0.4108006826783128,0.00047505643363450603,1.0487569663185926e-06
20,0.36,9,8,8,0.9638485091356157,0.9932088971136128,64,0.4204754761410509,6.501128130243575e-05,1.0402409807927748e-06
21,0.354,9,8,8,0.9112235297948899,0.9924932207010154,64,0.3426408268677058,0.0004561280485347998,2.036556631691114e-06
22,0.46,9,8,8,0.9452012688606779,0.9888344949877285,64,0.41588571744262687,0.0005288070950136734,1.025330490374897e-06
23,0.444,9,8,8,0.9368109420523143,0.9968268183918337,64,0.4073833108668443,0.0005924087164858894,1.5529051413445208e-06
24,0.404,9,8,8,0.9612625131355532,0.9997007963309831,64,0.4832867123509768,0.00020149801063834336,3.213139380743207e-06
25,0.466,9,8,8,0.9460284573463403,0.9898187996242086,64,0.3403687409700753,0.00048341694518781367,5.8027585967908415e-06
26,0.454,7,8,8,0.9732132059972988,0.9898169873587309,64,0.343422651622938,0.0002879571043319613,2.458373999586487e-05
27,0.364,3,8,8,0.9383372658044796,0.9884141171465728,64,0.330169123655764,0.0007363941401253608,5.668732132251754e-06
28,0.454,5,8,8,0.9896837947316857,0.989200372686652,64,0.38764298573969774,0.0001554093245161943,1.868798420181361e-05
29,0.316,7,16,2,0.9391360555810337,0.9946562398484302,64,0.465213291362547,8.29559747074833e-05,5.394242255467144e-05
30,0.48,9,8,8,0.9051133640354324,0.9853871668003463,64,0.4294686593763049,0.00047854984194484527,9.735649074513381e-05
31,0.472,9,8,8,0.9079167184787291,0.9853643443532711,64,0.4309049894432896,0.0005508229168198102,7.397432378301024e-05
32,0.376,9,8,8,0.9102100738755632,0.9856452346124672,64,0.44517261603092106,0.0009669495898716829,8.9485052500871e-05
33,0.456,9,8,8,0.9048985521843321,0.981538227268456,64,0.432566418345878,0.0004232514286901348,9.81488520048438e-05
34,0.406,3,8,2,0.8848552210364539,0.9858001402688134,64,0.39082031764045533,0.0007395679088717595,3.712648505718484e-05
35,0.456,9,16,8,0.8588827123560248,0.986760888662549,64,0.3561632287528783,0.000267472877190797,7.249760268270328e-05
36,0.456,9,8,8,0.8887876299881193,0.9911396950989342,64,0.4590880783520468,0.0001905953756515015,3.070165522420466e-05
37,0.436,7,8,8,0.923480488947915,0.9842147759068612,64,0.430164330285551,0.00010653494074261944,4.484381579371862e-05
38,0.52,9,16,2,0.905162722398663,0.9852966695908565,64,0.3259603778499781,0.0005960116894029183,6.117081855748195e-05
39,0.438,5,16,2,0.8598071188433017,0.9856151890244512,64,0.3009283697159824,0.0003812398504678947,7.145481717128665e-05
40,0.214,3,16,2,0.9104294528061407,0.9875677573780295,32,0.3304039507368707,1.2091074371000755e-05,5.36649107312733e-05
41,0.448,9,16,2,0.9003315446051263,0.9861755107580849,64,0.32953879580136863,0.0006158653129211898,7.681821791448275e-05
42,0.408,9,16,2,0.9313230345165525,0.9820628743104917,64,0.36102451439886174,0.0007572858688480603,4.2310384162964304e-05
43,0.432,9,16,4,0.9172712693738648,0.9849175583679968,32,0.31953202816362575,0.0004963797843194758,6.159833950160347e-05
44,0.418,9,32,2,0.887539620398851,0.9881966329604284,64,0.48648758247620094,0.0003252888710053,2.9359899308429593e-05
45,0.494,9,16,4,0.831965816862615,0.991059250574176,16,0.3994341877939089,0.0008014693322082167,9.738647204774769e-06
46,0.482,9,16,8,0.8356930282690797,0.9904220396323076,64,0.39498688364091206,0.0005329748785862855,9.857296787416424e-06
47,0.382,9,16,4,0.827470990251931,0.9910147685032984,32,0.3984311057959759,0.0008332582369695403,1.072393924322278e-05
48,0.378,9,16,8,0.8321787878381259,0.9914661499851595,16,0.431775589334546,0.0006314861121285649,1.997284244719373e-05
49,0.464,5,16,4,0.8044613232254082,0.9956679078140989,16,0.4702897163010753,0.0005744936388390038,8.30336644335878e-06
50,0.434,9,16,2,0.8114493885363477,0.993150746839905,64,0.4478147385310338,0.00032249017050309356,1.2815682597432757e-05
51,0.34,9,16,8,0.8432338777961456,0.9897425246322484,64,0.37241771853652367,3.544239801135996e-05,4.933113875767687e-06
52,0.428,9,16,8,0.8167874899704046,0.9867315015543613,64,0.3957675295906236,0.00099466924546886,6.308827477219075e-06
53,0.458,9,16,8,0.8725900832381456,0.9902693526228666,64,0.3419512603035638,0.0004273138827668182,1.0393755484577416e-05
54,0.438,9,16,8,0.8370198387044661,0.9875446703143429,16,0.42830141604061783,0.0002312243933949428,1.6841495270398823e-05
55,0.396,9,8,4,0.8553401718314202,0.9848208572679218,64,0.37938610239682646,0.000524596912228338,6.8248277298128445e-06
56,0.444,3,16,8,0.8205036240432222,0.9917339301135911,64,0.49490425196748733,0.00036420104916299326,8.86843788780601e-06
57,0.466,9,8,8,0.8955778942227587,0.9936157329905652,16,0.3669077681693004,0.0007948814132695192,3.6972174278252538e-06
58,0.376,9,8,4,0.8477862837842971,0.9840176603818926,32,0.40196328027600275,0.0006690694011469532,8.455763190646036e-05
59,0.454,7,16,8,0.8672459419403522,0.9829843811563843,64,0.30957774028016083,0.00048206436797254445,6.102452592930613e-05
60,0.46,9,8,8,0.9214041139279611,0.9903578305219524,64,0.4402511020504202,0.000860874074083279,5.281857494648849e-06
61,0.466,9,8,8,0.8777269966956872,0.9938278507877223,16,0.36895465503007635,0.0007946601985573844,3.3821000025153357e-06
62,0.436,9,8,8,0.8933884486969232,0.9954948837433462,16,0.36072595364401366,0.0005807592908222468,4.0207044663850275e-06
63,0.442,9,8,8,0.9032992587829651,0.9923494644454045,16,0.3794180290570987,0.0007203508000258113,3.408067668343781e-06
64,0.41,9,8,8,0.9138135809480802,0.989330167686183,16,0.41928628733151097,0.00042478348628720986,9.242554751684855e-06
65,0.472,9,8,8,0.8814824373724602,0.9964462546794927,16,0.34554975042895153,0.0008711848561615105,6.915293256944581e-06
66,0.422,9,8,8,0.9056210181712601,0.9998465703389889,16,0.34717753758586134,0.0006578657270006951,1.2694027827455395e-05
67,0.472,5,8,4,0.9559248211493951,0.9974237959265944,64,0.32190981068166974,0.0005318831388160946,6.0072787198718456e-06
68,0.458,5,8,4,0.9555942267945111,0.998182873662868,64,0.31719766707177477,0.0005569207577849046,7.257676217812834e-06
69,0.478,5,16,4,0.972274682636632,0.9965516464167596,16,0.4567939815680664,0.000983305235742269,1.1644168018730545e-05
70,0.428,5,16,4,0.9796952310592509,0.9960965652274221,16,0.4550877872960192,0.000989895856777866,2.3092407844203527e-05
71,0.392,5,16,4,0.9691574173303579,0.9975220681188196,16,0.3021668169684982,0.0008588966409601819,1.4172253443194168e-05
72,0.448,5,16,4,0.9625120371902894,0.9980959813376946,16,0.44073492675652504,0.0006983755475205047,9.844827941046962e-05
73,0.47,5,16,4,0.9324401303288653,0.9988724912069775,16,0.32840384426620706,0.0008786146753872818,1.1317977024929575e-05
74,0.402,5,32,4,0.9822545959075002,0.9946499576851919,16,0.4226510944658109,0.0005380034701584935,8.269828902469505e-05
75,0.386,5,8,4,0.8815993675990049,0.9972360713079034,64,0.536198400669476,0.00036155590267858607,6.1975381145198685e-06
76,0.462,5,16,4,0.8249289155982807,0.9961303026027176,64,0.41201070261348144,0.0006390380123627027,9.376826959117906e-06
77,0.392,7,8,2,0.9731637408842061,0.9850527722298542,64,0.4647427934718952,0.0002980515888255631,4.635431579833955e-06
