epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,251.678,0.50662,0.39313,1.03335,0.96216,0.95932,0.98826,0.93236,0.37055,0.35796,0.76745,0.0008318,0.0008318,0.0008318
61,255.835,0.50635,0.39873,1.03658,0.95094,0.95932,0.9889,0.93965,0.34974,0.34614,0.75486,0.000812,0.000812,0.000812
62,260.454,0.5195,0.39929,1.04304,0.95809,0.9661,0.98672,0.92524,0.36905,0.36673,0.7655,0.0007922,0.0007922,0.0007922
63,264.668,0.50227,0.39313,1.03771,0.96509,0.96271,0.98863,0.928,0.37314,0.3526,0.77716,0.0007724,0.0007724,0.0007724
64,268.773,0.50731,0.39195,1.04048,0.97888,0.94287,0.98478,0.92189,0.37463,0.37822,0.77377,0.0007526,0.0007526,0.0007526
65,272.9,0.48995,0.38452,1.03044,0.97834,0.96271,0.98871,0.93372,0.36371,0.37252,0.76683,0.0007328,0.0007328,0.0007328
66,277.026,0.48465,0.37795,1.02602,0.97603,0.94915,0.98784,0.92389,0.37315,0.36958,0.77058,0.000713,0.000713,0.000713
67,281.169,0.50287,0.39201,1.03369,0.98657,0.95932,0.98803,0.92956,0.36951,0.35018,0.77765,0.0006932,0.0006932,0.0006932
68,285.36,0.49463,0.39005,1.03466,0.97199,0.94115,0.98755,0.93236,0.37266,0.35779,0.7755,0.0006734,0.0006734,0.0006734
69,289.453,0.49459,0.37409,1.02907,0.97022,0.95593,0.98946,0.93141,0.37891,0.36371,0.7677,0.0006536,0.0006536,0.0006536
70,293.546,0.49674,0.38441,1.03254,0.97562,0.9494,0.98759,0.93136,0.35769,0.34842,0.76738,0.0006338,0.0006338,0.0006338
71,297.615,0.48788,0.38025,1.03246,0.98421,0.94915,0.98948,0.93026,0.37374,0.37592,0.77308,0.000614,0.000614,0.000614
72,301.696,0.4743,0.37383,1.0161,0.9748,0.95932,0.98913,0.93067,0.37629,0.34814,0.76337,0.0005942,0.0005942,0.0005942
73,305.811,0.48184,0.37145,1.02503,0.9623,0.95174,0.98886,0.93534,0.35847,0.37014,0.7694,0.0005744,0.0005744,0.0005744
74,309.872,0.47956,0.36556,1.0288,0.96916,0.9586,0.99,0.9296,0.37006,0.3585,0.7674,0.0005546,0.0005546,0.0005546
75,313.948,0.48577,0.37023,1.02547,0.94987,0.96348,0.98556,0.93084,0.36408,0.35852,0.77091,0.0005348,0.0005348,0.0005348
76,317.976,0.48031,0.36849,1.02849,0.96696,0.96949,0.99118,0.94023,0.36211,0.3486,0.76948,0.000515,0.000515,0.000515
77,322.127,0.47066,0.36163,1.02457,0.96597,0.96226,0.98894,0.93314,0.35622,0.33547,0.76393,0.0004952,0.0004952,0.0004952
78,326.178,0.45713,0.35406,1.01852,0.96828,0.95593,0.98536,0.94452,0.34231,0.34208,0.75201,0.0004754,0.0004754,0.0004754
79,330.403,0.47261,0.36873,1.02423,0.95908,0.95348,0.989,0.94387,0.33401,0.32996,0.75155,0.0004556,0.0004556,0.0004556
80,334.491,0.47694,0.36621,1.02915,0.9627,0.96232,0.98844,0.93902,0.34339,0.35259,0.76252,0.0004358,0.0004358,0.0004358
81,338.557,0.47419,0.3593,1.02352,0.94615,0.95293,0.98637,0.94061,0.33911,0.37433,0.75511,0.000416,0.000416,0.000416
82,342.715,0.46225,0.35792,1.02052,0.95972,0.94915,0.98553,0.941,0.34372,0.34987,0.7643,0.0003962,0.0003962,0.0003962
83,346.979,0.47135,0.3569,1.033,0.96374,0.95932,0.98809,0.94206,0.34342,0.35836,0.7629,0.0003764,0.0003764,0.0003764
84,351.233,0.4751,0.35582,1.02389,0.9657,0.9544,0.98721,0.94049,0.34433,0.3539,0.75777,0.0003566,0.0003566,0.0003566
85,355.541,0.45884,0.35392,1.02131,0.97967,0.96271,0.98933,0.95159,0.32282,0.33222,0.75348,0.0003368,0.0003368,0.0003368
86,359.831,0.46994,0.35595,1.0273,0.96727,0.95932,0.98709,0.94823,0.3337,0.33893,0.75275,0.000317,0.000317,0.000317
87,364.026,0.45402,0.34095,1.01906,0.95888,0.94865,0.98442,0.94325,0.34419,0.34881,0.75563,0.0002972,0.0002972,0.0002972
88,368.443,0.44288,0.3378,1.0138,0.96874,0.95254,0.98658,0.94313,0.33707,0.33608,0.75551,0.0002774,0.0002774,0.0002774
89,372.67,0.45,0.34597,1.01636,0.96546,0.95593,0.98797,0.94622,0.32888,0.33467,0.7546,0.0002576,0.0002576,0.0002576
90,377.062,0.44972,0.34775,1.01211,0.9719,0.95932,0.98924,0.94413,0.33186,0.31628,0.75297,0.0002378,0.0002378,0.0002378
91,408.03,0.23582,0.23737,0.90358,0.97431,0.95932,0.98674,0.93519,0.35084,0.33461,0.77203,0.000218,0.000218,0.000218
92,412.471,0.23121,0.19754,0.89718,0.95886,0.96949,0.98748,0.9398,0.34524,0.34463,0.76194,0.0001982,0.0001982,0.0001982
93,417.135,0.22389,0.1914,0.88347,0.96241,0.96949,0.98861,0.94084,0.3446,0.33127,0.76381,0.0001784,0.0001784,0.0001784
94,421.504,0.21761,0.18655,0.88309,0.95905,0.97627,0.99077,0.94769,0.33438,0.31853,0.75938,0.0001586,0.0001586,0.0001586
95,426.061,0.21868,0.18575,0.87648,0.95353,0.97372,0.98898,0.94839,0.33732,0.32156,0.76006,0.0001388,0.0001388,0.0001388
96,430.56,0.2154,0.18626,0.88939,0.96251,0.9573,0.98937,0.94532,0.34449,0.32824,0.75599,0.000119,0.000119,0.000119
97,434.814,0.20572,0.18345,0.87447,0.96894,0.95159,0.98924,0.94407,0.33902,0.32509,0.75643,9.92e-05,9.92e-05,9.92e-05
98,439.078,0.20752,0.17969,0.87734,0.94716,0.97627,0.98838,0.94317,0.33314,0.33001,0.75461,7.94e-05,7.94e-05,7.94e-05
99,443.257,0.19944,0.17008,0.88282,0.94417,0.97451,0.98941,0.94678,0.32817,0.32132,0.75424,5.96e-05,5.96e-05,5.96e-05
100,447.484,0.20503,0.17429,0.87847,0.96317,0.95254,0.98888,0.94532,0.32705,0.32377,0.75362,3.98e-05,3.98e-05,3.98e-05
